No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
19,"aplikasinya keren, cuma kadang masih suka disconnect. harus ditambahi servernya biar tidak overload.",aplikasi keren kadang suka disconnect tambah servernya biar overload,positif,positif,positif
20,proses yang termasuk mudah tanpa harus antri..👍🏻👍🏻 saya harap perbaikan jalan selalu di utamakan..,proses mudah antri harap baik jalan utama,positif,positif,positif
21,dulu pas masih Samsat Cimahi suka dapat plastik STNK sekarang dari Samsat cianjur tidak dapat plastiknya.,pas samsat cimahi suka plastik stnk samsat cianjur plastik,positif,positif,positif
22,PROSES CEPAT DAN PENGIRIMAN JUGA CEPAT,proses cepat kirim cepat,positif,positif,positif
23,verifikasi gagal terus. keterangan foto KTP harus sama sama foto selfe ga logis. foto KTP ga senyum di foto verifikasi harus senyum. hasil ga match terus. aplikasi gagal,verifikasi gagal terang foto ktp foto selfe logis foto ktp senyum foto verifikasi senyum hasil match aplikasi gagal,negatif,negatif,negatif
24,ajibb,ajib,positif,positif,positif
25,"udah 14 hari stnk ga dikirim kirim dan gaada info di aplikasinya terkait progres pengiriman, saran aja diaplikasi itu bisa chat denga CS atau admin atau pengurus jadi kalo ada trouble kayak gini user bisa tanya dan dapat jawaban jelas bukan malah live chat dengan AI",stnk kirim kirim info aplikasi kait progres kirim saran aplikasi chat denga cs admin urus trouble kayak user live chat ai,negatif,negatif,negatif
26,sangat membantu dan mempermudah 👍🏻👍🏻,bantu mudah,positif,positif,positif
27,"wah sumpah puas bgt , perdana bayar pajak melalui online , gk ribet proses nya mudah , gk ada embel² , cuma nambah ongkir doang....pengiriman nya juga cepat , gk ngebuang waktu di jalan + ngantri , cukup melalui hp ...klo bisa yg 5 tahun sekali ( ganti kaleng ) juga bisa via online , jd gk ribet ngantur waktu...",sumpah puas banget perdana bayar pajak online ribet proses ya mudah embel tambah ongkir doangpengiriman ya cepat ngebuang jalan antri hp ganti kaleng via online ribet ngantur,positif,positif,positif
28,"masyaallah bangett baru kemarin 13 februari bayar pajak pakai aplikasi ini pertama kali dan hari ini 14 februari udah sampai ditempat lagi dengan aman, gercep banget.. terimakasih sudah membantu 🙏🏻👍🏻⭐⭐⭐⭐⭐",masyaallah banget kemarin februari bayar pajak pakai aplikasi kali februari tempat aman gercep banget terimakasih bantu,positif,positif,positif
29,"aplikasi yang berguna untuk pembayaran pajak tahunan dan sangat mudah dalam proses pembayarannya dan pengiriman dokumen ke rumah,sangat membantu dan mudah.",aplikasi guna bayar pajak tahun mudah proses bayar kirim dokumen rumahsangat bantu mudah,positif,positif,positif
30,asli ngebantu banget buat yang ngerantau,asli bantu banget ngerantau,positif,positif,positif
31,cukup baik dan mudah,mudah,positif,positif,positif
32,cek apapun tidak bisa,cek apa,negatif,negatif,negatif
33,sangat membantu,bantu,positif,positif,positif
34,"kenapa yg versi 2 ini gak bosa prosesnya...begitu di klik nomor kendaraan, langsung ada tulisannya Gagal memproses",versi bosa prosesnyabegitu klik nomor kendara langsung tulis gagal proses,negatif,negatif,negatif
35,good job,good job,positif,positif,positif
36,sangat membantu dalam membayar pajak kendaraan..,bantu bayar pajak kendara,positif,positif,positif
37,mempermudah proses perpanjangan pajak,mudah proses panjang pajak,positif,positif,positif
38,mantap gak ribet antri,mantap ribet antri,positif,positif,positif
39,bagus luar biasa cepat sangat membantu saya terimakasih 🙏,bagus cepat bantu terimakasih,positif,positif,positif
40,Mudah2an diaplikasikan.... trmksh,mudah aplikasi trmksh,positif,positif,positif
41,tolong fitur nya di kembangkan lebih lagi secepatnya,tolong fitur ya kembang cepat,positif,positif,positif
42,keren... top top....,keren top top,positif,positif,positif
43,proses mudah cuman lama di pengiriman,proses mudah cuman kirim,positif,positif,positif
44,ga matut cek pajak aja ga bisa²,matut cek pajak,negatif,negatif,negatif
45,proses cepat dan sangat mudah lgsg dikirim ke rumah jadi kita ga perlu repot repot antri di kantor samsat,proses cepat mudah langsung kirim rumah repot repot antri kantor samsat,positif,positif,positif
46,payah aplikasi blm siap pakai ini mah. benahi dlu sistem nya baru diluncurkan.,payah aplikasi pakai mah benah sistem ya luncur,negatif,negatif,negatif
47,"mantap bayar pajak gak harus antri,tinggal duduk doang di rumah juga bisa,makin mudah,mantapp pokoknya",mantap bayar pajak antritinggal duduk doang rumah bisamakin mudahmantapp pokok,positif,positif,positif
48,"sangat bagus dan bermanfaat buat orang tidak bisa datang ke samsat, cuma pengirimannya agak lama, tolongan sistem pengirimannya diperbaiki ...terimakasih",bagus manfaat orang samsat kirim tolong sistem kirim baik terimakasih,positif,positif,positif
49,sangat sangat membantu,bantu,positif,positif,positif
50,keren..sangat membantu saya dalam membayar pajak tidak harus ke kantor...cukup lewat hp..pembayaran pajak bisa dilakukan dan diantar ke alamat untuk STNK yang baru.. kereeen sih mantap,kerensangat bantu bayar pajak kantorcukup hppembayaran pajak antar alamat stnk keren sih mantap,positif,positif,positif
51,"proses mudah, pengiriman dokumen cepat... registrasi hari rabu. dokumen hari Jum'at sampai.... mantap",proses mudah kirim dokumen cepat registrasi rabu dokumen jumat mantap,positif,positif,positif
52,"praktis, mudah dan cara daftarnya juga mudah... sangat membantu sekali disaat tidak ada yg bisa membantu pergi k samsat utk ngurusin",praktis mudah daftar mudah bantu saat bantu pergi samsat urus,positif,positif,positif
53,cepat....mudah,cepatmudah,positif,positif,positif
54,memudahkan dan dimudahkan terimakasih atas pelayanan primanya,mudah mudah terimakasih layan prima,positif,positif,positif
55,"bagus, sangat membantu, untuk yang sibuk, STNK langsung di kirim ke alamat",bagus bantu sibuk stnk langsung kirim alamat,positif,positif,positif
56,aplikasi yg sangat bermanfaat.. pengiriman cukup cepat,aplikasi manfaat kirim cepat,positif,positif,positif
57,memudahkan,mudah,positif,positif,positif
58,"jangan percaya sama ulasan bintang 5, itu bot semua, sya sudah coba sendiri Rumah saya jaraknya sama samsat ga ada 5km tp sya mau coba lewat aplikasi untuk perpanjang STNK motor dan mobil, proses supaya bisa sampe rumah itu 14 HARI LUAR BIASA BURUK",percaya ulas bintang bot coba rumah jarak samsat coba aplikasi panjang stnk motor mobil proses rumah buruk,negatif,negatif,negatif
59,sangat membantu sekali,bantu,positif,positif,positif
60,"sangat membantu, tingkat terus pelayanannya. Klo bisa free ongkir 👍",bantu tingkat layan free ongkir,positif,positif,positif
61,mantap lah,mantap,positif,positif,positif
62,"Lebih simple, gak capek antri di samsat Tinggal klik langsung sampe STNK nya",simple capek antri samsat tinggal klik langsung stnk ya,positif,positif,positif
63,"sangat membantu saat di luar provinsi gak mesti pulang buat bayar pajak, cepatt proses sampe pengiriman nya",bantu provinsi mesti pulang bayar pajak cepatt proses kirim ya,positif,positif,positif
64,simpel nggk usah ke samsat,simpel samsat,positif,positif,positif
65,mantap bisa diantar dan di urus meski beda pulau,mantap antar urus beda pulau,positif,positif,positif
66,mantaaaapppp,mantaaaapppp,positif,positif,positif
67,"terimakasih memudahkan kami,proses 9 hari, yang kurang hanya live chat nya yang tidak pernah respon, mohon diperbaiki untuk live chatnya",terimakasih mudah kamiproses live chat ya respon mohon baik live chatnya,positif,positif,positif
68,cumn 3 hari langsung di antar ke rumah 🏡... semoga memberikan pelayanan yang terbaik bagi masyarakat...,cuman langsung rumah moga layan baik masyarakat,positif,positif,positif
69,terima kasih,terima kasih,positif,positif,positif
70,"Alhamdulillah mempermudah segala urusan walau ada diluar kota tp msh bisa melaksanakan kewajiban membayar pajak kendaraan. terbaik,terima kasih banyak.",alhamdulillah mudah urus luar kota laksana wajib bayar pajak kendara terbaikterima kasih,positif,positif,positif
71,bagus proses nya cepat gk ribet,bagus proses ya cepat ribet,positif,positif,positif
72,sangat membantu sekali.gk usah antri di samsat dokumen langsung di kirim sampe rumah.trimakasih,bantu sekaligk antri samsat dokumen langsung kirim rumahtrimakasih,positif,positif,positif
73,Alhamdulillah menjadi mudah...,alhamdulillah mudah,positif,positif,positif
74,Cepat aMan Terpercaya,cepat aman percaya,positif,positif,positif
75,"pembayaran tanggal 02 dan diterima tgl 13 Februari 2026. Bukan 3 hari, tapi 11 hari, mungkin karena dikirim ke daerah lain. Dirobah saja prediksi 3 hari menjadi >1 minggu.Juga dipermudah dan diperlancar saja proses penerimaan pajak tahunan maupun yang 5 tahunan (usul bisa melalui signal lansung) agar negara kita terbantu oleh para wajib pajak yang setia/taat.",bayar tanggal terima tanggal februari kirim daerah dirobah prediksi minggujuga mudah lancar proses terima pajak tahun tahun usul signal lansung negara bantu wajib pajak setiataat,positif,positif,positif
76,mantap,mantap,positif,positif,positif
77,"Aplikasi ngga jelas, udah seminggu ngga bisa bayar pajak kendaraan, Hubungi live chat. mohon maaf semua agent tidak ada di lokasi. KOCAG!!!",aplikasi minggu bayar pajak kendara hubung live chat mohon maaf agent lokasi kocag,negatif,negatif,negatif
78,Alhamdulillah proses bayar pajak lebih mudah,alhamdulillah proses bayar pajak mudah,positif,positif,positif
79,walaupun proses lumayan lama 3 baru nyampai rumah tapi okee lah untuk yang tidak ada waktu ke kantor,proses lumayan nyampai rumah okee kantor,positif,positif,positif
80,proses pengirimannya terlalu lama.lebih dari 1minggu.,proses kirim lamalebih minggu,negatif,positif,positif
81,lemot & sering bug.,lot bug,negatif,negatif,negatif
82,bagus,bagus,positif,positif,positif
83,"setelah di update malah kacau, layar tampilan warnanya putih jd susah di baca gak kelihatan keterangannya, perlu di tingkatkan lg, dan untuk pengiriman kok makin mahal tp lama",update kacau layar tampil warna putih susah baca terang tingkat kirim mahal,negatif,positif,negatif
84,Di versi terbaru ada tambahan fitur yang bagus tapi belum berfungsi. Semoga di update berikutnya sudah bisa. Makin mempermudah bayar pajak. 👍👍👍,versi baru tambah fitur bagus fungsi moga update mudah bayar pajak,positif,positif,positif
85,Tinggal pegang hp duduk santai di rumah tanpa antri.. transaksi berhasil 3 hari di kirim deh sama pos,tinggal pegang hp duduk santai rumah antri transaksi hasil kirim deh pos,positif,positif,positif
86,"Segini dulu, walaupun dokumennya tetap sampai tapi prosesnya lama sekali,saya proses tgl 29 sampainya tgl 13,semoga bisa lebih baik lagi",gin dokumen proses sekalisaya proses tanggal sampai tanggal moga,positif,positif,positif
87,Aplikasi di update malah suruh validasi NIK terus. dulu awalnya bagus 2X pakai aplikasi ini,aplikasi update suruh validasi nik bagus kali pakai aplikasi,negatif,negatif,negatif
88,"cek pajak gk bisa, tp nagih pajak paling gercep 🤡",cek pajak nagih pajak gercep,negatif,negatif,negatif
89,good service,good service,positif,positif,positif
90,"ini kenapa sudah 2 hari saya coba 3 kendaraan ketika mau bayar tidak di temukan teruss, komplen ke cs. gk memberi solusi sama sekali",coba kendara bayar temu komplen cs solusi,negatif,negatif,negatif
91,sangatttttt membantu sekali....tinggal duduk manis di rumah tau2 sdh dikirim...tks bnyakkk,sangatttttt bantu sekalitinggal duduk manis rumah tau dikirimtks bnyakkk,positif,positif,positif
92,aplikasi terpercaya,aplikasi percaya,positif,positif,positif
93,cukup membantu,bantu,positif,positif,positif
94,"aplikasi ini belum siap. mau cek tagihan pajak aja susah. jawaban mesin "" Mohon maaf layanan belum tersedia """,aplikasi cek tagih pajak susah mesin mohon maaf layan sedia,negatif,negatif,negatif
95,sangat efisien,efisien,positif,positif,positif
96,fitur bayar pajak tidak dapat digunakan.,fitur bayar pajak,negatif,negatif,positif
97,"dokumennya lama dikirim (lebih dari sebulan dan harus lapor dulu baru dikirim), kode bayar selalu invalid ngak bisa transaksi, apalah yg mau ditanggungjawankan kalau tidak bisa menangani keluhan pelanggan",dokumen kirim bulan lapor kirim kode bayar invalid transaksi apa ditanggungjawankan tangan keluh langgan,negatif,negatif,negatif
98,sudah beberapa kali verifikasi tapi tetap gagal juga,kali verifikasi gagal,negatif,negatif,negatif
99,terima kasih signal bayar pajak kendaraan tidak perlu ke kantor samsat lebih mudah dan simpel surat langsung diantar kerumahh terima kasih..,terima kasih signal bayar pajak kendara kantor samsat mudah simpel surat langsung antar kerumahh terima kasih,positif,positif,positif
100,"mantap.. mudah dan cepat,, tapi alangkah baiknya pembayaran pajak kendaraan atas nama orang lain yang bukan keluarga juga bisa dilakukan di sini.. karena tidak semua orang bisa beli kendaraan baru atas nama sendiri",mantap mudah cepat alangkah baik bayar pajak kendara nama orang keluarga orang beli kendara nama,positif,positif,positif
101,"FIX, YANG KASIH BINTANG 5 ORANG DALAM SEMUA!!! aplikasi gak jelas, lemot brutal sih ini, niat mau mempermudah malah tambah sulit aja, capek nunggu aja, baik antri di samsat aja, tolong di monitor aplikasinya, gak guna!",fix kasih bintang orang aplikasi lot brutal sih niat mudah sulit capek tunggu antri samsat tolong monitor aplikasi,negatif,negatif,negatif
102,"mau bayar pajak loading terus, ujung-ujungnya layanan tidak tersedia",bayar pajak loading ujungujungnya layan sedia,negatif,negatif,negatif
103,"Amat sangat lama, percuma pake yang express tapi dateng nya tetep lama",pakai express ya,negatif,negatif,negatif
104,prosesnya cepat dan mudah . 🙏👍,proses cepat mudah,positif,positif,positif
105,"Aplikasi yg bisa dipercaya, saya sudah 3 kali bayar pajak kendaraan dan berhasil. STNK langsung dikirim ke alamat yg kita inginkan dgn biaya yg menyesuaikan dgn alamat pengiriman. Saya tau aplikasi ini dr youtuber Fitra Eri. Salam berbagi info positif dan sukses selalu utk POLRI yg semakin luar biasa dlm pelayanan.",aplikasi percaya kali bayar pajak kendara hasil stnk langsung kirim alamat biaya sesuai alamat kirim tau aplikasi youtuber fitra eri salam bagi info positif sukses polri layan,positif,positif,positif
106,sigap cepat terimakasi,sigap cepat terimakasi,positif,positif,positif
107,"Aplikasi ga jelas. foto KTP ga senyum verivikasi suruh senyum ya jelas ga sesuai lah,,,, Bodol",aplikasi foto ktp senyum verivikasi suruh senyum ya sesuai bodol,negatif,negatif,negatif
108,error mulu min semenjak update jadi gajelas,error mulu min semenjak update,negatif,negatif,negatif
109,"dibenahi dulu apk nya, loadingnya minta ampun 😅, tekan apa saja loading nunggu menitan",benah apk ya loadingnya ampun tekan loading tunggu menit,negatif,negatif,negatif
110,"loadnya lama bgt, terus gagal mulu.",loadnya banget gagal mulu,negatif,negatif,negatif
111,"lemot aplikasi nya, ga di gerai ga aplikasi nya lemot semua",lot aplikasi ya gerai aplikasi ya lot,negatif,negatif,negatif
112,"mantap,cepat akurat",mantapcepat akurat,positif,positif,positif
113,"Ternyata mudah dan simpel proses nya serta pengiriman dokumen nya,benar benar mempermudah,ayo yang punya kendaraan motor atau mobil gunakan aplikasi samsat digital, nggak perlu ribet2 proses tiga hari udah selesai,STNK sudah sampai ke Alamat",mudah simpel proses ya kirim dokumen nyabenar mempermudahayo kendara motor mobil aplikasi samsat digital ribet proses selesaistnk alamat,positif,positif,positif
114,"Sangat membantu, cuma STNk tahun lalu belum sampai2 dirumah sampai sekarang.. malah yg baru 2026 udh saya terima",bantu stnk rumah terima,positif,positif,positif
115,tingkatkan lagi,tingkat,positif,positif,positif
116,"aplikasi yg sangat bagus,,dikirim lewat pos..ajuin tgl 2 tgl 12 sudah di terima, karna via pos biasa..",aplikasi bagusdikirim posajuin tanggal tanggal terima via pos,positif,positif,positif
117,terimakasih sudah di terima..,terimakasih terima,positif,positif,positif
118,Solusi bagi kalian yg tidak sempat datang ke samsat. Mudah penggunaannya. Pengiriman reguler seminggu sampe rumah. Overall okee..,solusi samsat mudah guna kirim reguler minggu rumah overall okee,positif,positif,positif
119,proses pengiriman lumayan lama 1 mingguan baru sampai STNK fisik,proses kirim lumayan minggu stnk fisik,positif,positif,positif
120,udah 2 tahun perpanjang stnk via online sangat membantu jadi gak perlu cuti buat urus urus.,panjang stnk via online bantu cuti urus urus,positif,positif,positif
121,"oke, smg kedepan makin bagus.. stiker hologram ga ada 🙂‍↕️",oke moga depan bagus stiker hologram,positif,positif,positif
122,mantap...lebih mudah bayar pajak tak perlu datang ke samsat,mantaplebih mudah bayar pajak samsat,positif,positif,positif
123,bagusssss....,bagusssss,positif,positif,positif
124,mantap pengiriman cepat,mantap kirim cepat,positif,positif,positif
125,Sangat terbantu dengan adanya Signal,bantu signal,positif,positif,positif
126,mau bayar pajak aja susah.. aplikasi sering eror.. buat apa bikin aplikasi signal khusus Jabar mending pakai apk SAPAWARGA untuk warga jakarta Harap bersabar bayar ke Samsat 🤭🤭🤭🤣🤣🤣,bayar pajak susah aplikasi eror bikin aplikasi signal khusus jabar mending pakai apk sapawarga warga jakarta harap sabar bayar samsat,negatif,negatif,negatif
127,"server lemot parah, masak institusi negara kalah sama aplikasi online shoop.",server lot parah masak institusi negara kalah aplikasi online shoop,negatif,negatif,negatif
128,terima kasih signal digital untuk bayar pajak sudah tidak perlu ke Samsat lagi,terima kasih signal digital bayar pajak samsat,positif,positif,positif
129,aman dan terpercaya,aman percaya,positif,positif,positif
130,Memudahkan untuk perpanjang STNK,mudah panjang stnk,positif,positif,positif
131,Gagal! NIK sudah terdaftar Apa maksudnya?,gagal nik daftar maksud,positif,positif,positif
132,sangat memudahkan di saat situasi tidak bisa plang dengan adanya pembayaran secara online jdi tenang terima kasih signal untuk mempermudah transaksinya 🙏🙏🙏,mudah situasi plang bayar online tenang terima kasih signal mudah transaksi,positif,positif,positif
133,sangat bagus,bagus,positif,positif,positif
134,sangat simpel dan cepat serta akurat 👍🏻👍🏻👍🏻,simpel cepat akurat,positif,positif,positif
135,dengan anggaran yg besar gitu harusnya lebih baik lg bikinnya dannkitang d repotkan untuk sistem pembayarannyabyg repot n live chat yg robot mulu yg stnby.. sorry yee masukan aja ini,anggar bikin dannkitang repot sistem pembayarannyabyg repot n live chat robot mulu stnby sorry ya masuk,negatif,negatif,negatif
136,harap diperbaiki lagi untuk di wilayah Samsat tertentu lambat betul pengiriman nya saya sampai setengah bulan itu pun harus complain d aplikasi ini baru dkirim STNK,harap baik wilayah samsat lambat kirim ya complain aplikasi dkirim stnk,positif,positif,positif
137,aplikasi yg bagus hemat dan cepat... good job polri,aplikasi bagus hemat cepat good job polri,positif,positif,positif
138,ga guna sama sekali.,nan,negatif,positif,positif
139,smg ke depan lebih di tingkatkan pelayanannya dan lebih cepat. bisa sehari jadi.,moga tingkat layan cepat hari,positif,positif,positif
140,"gagal, layanan sementara belum tersedia. silahkan daftar akun untuk bayar pajak.. udah registrasi padahal... aneh aneh",gagal layan sedia sila daftar akun bayar pajak registrasi aneh aneh,negatif,negatif,negatif
141,"Bagus lebih praktis tanpa drama2 pake bpkb segala, Orang mah begini semuanya dimudahkan Orang mau Bayar Ko Bukan minta uang.. 👍🏻",bagus praktis drama pakai bpkb orang mah mudah orang bayar uang,positif,positif,positif
142,"coba2 pajakin lwt online, eh tertanya bisa, dan mudah sekali, dikirim via post sampai rumah. jos pokoknya",coba pajakin online eh tanya mudah kirim via post rumah jos pokok,positif,positif,positif
143,"Terima kasih banyak sangat membantu sekali, apalagi kalau bisa proses ganti kaleng sekalian, mantap sekali 👍👍👍👍👍👍👍👍",terima kasih bantu proses ganti kaleng mantap,positif,positif,positif
144,LUAR BIASA MUDAHNYA. BARU KALI INI MERASA DIPERMUDAH. TERIMA KASIH PAK POL,mudah kali mudah terima kasih pol,positif,positif,positif
145,sangat mudah & cepat,mudah cepat,positif,positif,positif
146,"Alhamdulillah, semakin mudah dan transparan dalam urusan biaya pajak kendaraan.",alhamdulillah mudah transparan urus biaya pajak kendara,positif,positif,positif
147,"Suka sekali dengan aplikasi ini, sangat cocok untuk ibu2 tim ga mau repot plus doyan rebahan kayak aku ini, krn sambil rebahan jg bisa bayar pajak 😂",suka aplikasi cocok tim repot plus doyan rebah kayak rebah bayar pajak,positif,positif,positif
148,maaf. mau nanya cara hubungi Samsat ny gmna ya. saya bayar pajak biasa nya 24 jam sudah d kirim ni dah mau 5 hri. masih d proses. aja,maaf hubung samsat nya ya bayar pajak ya jam kirim nih proses,positif,positif,positif
149,cara merubah email bagaimana min??? lain nya bisa... email tidak bisa,rubah email min ya email,positif,positif,positif
150,alhamdulillah terbantu dalam hal ini,alhamdulillah bantu,positif,positif,positif
151,"Mantap, Alhamdulillah nyampe dengan selamat dokumennya.",mantap alhamdulillah selamat dokumen,positif,positif,positif
152,proses cepat,proses cepat,positif,positif,positif
153,cepat dan terpercaya,cepat percaya,positif,positif,positif
154,keren.. berguna sekali aplikasi ini.,keren guna aplikasi,positif,positif,positif
155,Asli.. Ini paten bener buat urus perpanjang STNK,asli paten urus panjang stnk,positif,positif,positif
156,"nazongggg ""layanan tidak tersedia""... buat apeee ada apps gabisa dipakedd",nazongggg layan sedia apeee apps dipakedd,negatif,negatif,negatif
157,"sangat membantu, nopol H semarang . posisi di kediri... tinggal nunggu di rumah tanpa antri. sayang nya tidak di kirim stiker cap stnk",bantu nopol h semarang posisi diri tinggal tunggu rumah antri sayang ya kirim stiker cap stnk,positif,positif,positif
158,"aplikasi ini memudahkan saya bayar pajak kendaraan bermotor tanpa harus mengantri ke Samsat, pelayanan jg cepat dan tepat terimakasih",aplikasi mudah bayar pajak kendara motor antri samsat layan cepat terimakasih,positif,positif,positif
159,Sangat efisien,efisien,positif,positif,positif
160,"bayar pajak jadi lebih mudah, tidak perlu ke kantor Samsat. klw bisa pembayaran pajak atas nama orang lain bisa di aplikasi ini.",bayar pajak mudah kantor samsat bayar pajak nama orang aplikasi,positif,positif,positif
161,"solusi yg pas waktunya bayar pajak tapi ga ada waktu karena bekerja. untuk proses sebenernya cepat, hanya nunggu dokumennya yg lumayan lama. semoga kedepannya proses dan kirimnya semakin cepat.",solusi pas bayar pajak proses cepat tunggu dokumen lumayan moga depan proses kirim cepat,positif,positif,positif
162,"simpel, cepat, digitalisasi... bagus pertahankan",simpel cepat digitalisasi bagus tahan,positif,positif,positif
163,"alhamdulillah transaksi nya mudah dan berjalan lancar, pajak terbaru dikirim langsung ke rumah. terima kasih atas pelayanan yang luar biasa ini.",alhamdulillah transaksi ya mudah jalan lancar pajak baru kirim langsung rumah terima kasih layan,positif,positif,positif
164,Saya jujur... fitur nya semua hoak,jujur fitur ya hoak,negatif,positif,negatif
165,"mudah n cepat,, semoga yg tanpa KTP pemilik juga bis bayar disini,, yakin yg taat pajak semakin banyak",mudah n cepat moga ktp milik bis bayar taat pajak,positif,positif,positif
166,"sangat membantu , proses cepat",bantu proses cepat,positif,positif,positif
167,sangat memudahkan utk perpanjangan pajak stnk kendaraan yang pemiliknya berbeda kota. proses dri pendaftaran smpe pengiriman stnk cuma hitungan hari.cepat & sampai sesuai alamat tujuan.,mudah panjang pajak stnk kendara milik beda kota proses daftar kirim stnk hitung haricepat sesuai alamat tuju,positif,positif,positif
168,mantap pokoknya,mantap pokok,positif,positif,positif
169,"kenapa layanan pemerintah nge bug mulu,, padahal saya pakai wifi jaringan bagus,buat daftar koneksinya time out mulu,tolong lah buat developer nya di perhatikan niat ga sih nolong rakyatnya",layan perintah nge bug mulu pakai wifi jaring bagusbuat daftar koneksi time out mulutolong developer ya perhati niat sih nolong rakyat,negatif,negatif,negatif
170,mantap dah,mantap,positif,positif,positif
171,mudah dan praktis,mudah praktis,positif,positif,positif
172,memudahkan perpanjangan dan diantar kerumah,mudah panjang antar rumah,positif,positif,positif
173,mantap cepet,mantap cepat,positif,positif,positif
174,mudah.mempermudah.alhamdulillah apk nya lancar. paket STNK nya smpai dengan baik .,mudahmempermudahalhamdulillah apk ya lancar paket stnk ya,positif,positif,positif
175,"Proses perpanjangan STNK tahunan dan pembayaran sampai dengan pengiriman dan penerimaan dokumen STNK baru, berjalan lancar dan cepat 👍🏽👍🏽👍🏽",proses panjang stnk tahun bayar kirim terima dokumen stnk jalan lancar cepat,positif,positif,positif
176,lebih mudah dan praktis klo bisa mah pajak 5th juga bisa lewat online pasti lebih mantap lg🙏👍,mudah praktis mah pajak online mantap,positif,positif,positif
177,"maap sya kasih bintang 1, soal nya sya gak bisa verifikasi akun. bilang nya ktp ama fto beda, padahal sama,😢",maaf kasih bintang ya verifikasi akun bilang ya ktp foto beda,negatif,negatif,negatif
178,good,good,positif,positif,positif
179,Kadang masih kesulitan utk login pembayaran di indomart...,kadang sulit login bayar indomart,positif,positif,positif
180,"memudahkan kita,bagi yang tidak mau langsung kekantor",mudah kitabagi langsung kantor,positif,positif,positif
181,"aplikasi mudah untuk dimengerti, gampang melakukan pembayaran dan untuk orang yang jadwal kerjanya padat sangatt bagus dan sangan membutuhkannya untuk melakukannya via online dan bisa dikirim ke alamat rumah",aplikasi mudah erti gampang bayar orang jadwal kerja padat sangatt bagus sangan butuh laku via online kirim alamat rumah,positif,positif,positif
182,"bagus, mempermudah pajak mobil",bagus mudah pajak mobil,positif,positif,positif
183,mudah dan cepat,mudah cepat,positif,positif,positif
184,Pelayanannya Mantaf. Polri Kuat Salam Presisi,layan mantaf polri kuat salam presisi,positif,positif,positif
